id,type,english,burmese,example_en,example_my,pronunciation,audio_url,category
,word,interior,အတွင်းပိုင်း,The interior of the house is beautiful.,အိမ်ရဲ့ အတွင်းပိုင်းက လှပတယ်။,/ɪnˈtɪəɹɪə/,https://api.dictionaryapi.dev/media/pronunciations/en/interior-us.mp3,everyday
,word,stomach,အစာအိမ်,My stomach hurts.,ကျွန်တော့်အစာအိမ် နာနေတယ်။,/ˈstʌmək/,https://api.dictionaryapi.dev/media/pronunciations/en/stomach-us.mp3,everyday
,word,nowhere,ဘယ်မှမ,The keys are nowhere to be found.,သော့တွေက ဘယ်မှာမှ ရှာမတွေ့ဘူး။,/ˈnəʊ.wɛə/,https://api.dictionaryapi.dev/media/pronunciations/en/nowhere-us.mp3,everyday
,word,pray,ဆုတောင်း,We pray for peace.,ငြိမ်းချမ်းရေးအတွက် ဆုတောင်းပါတယ်။,/pɹeɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/pray-us.mp3,everyday
,word,championship,ချန်ပီယံရှစ်,Our team won the championship.,ကျွန်တော်တို့အသင်း ချန်ပီယံရှစ်ကို ရရှိခဲ့တယ်။,/ˈtʃæmpi.ənʃɪp/,,everyday
,word,servant,အစေခံ,She worked as a servant in their house.,သူမ သူတို့အိမ်မှာ အစေခံအဖြစ် အလုပ်လုပ်ခဲ့တယ်။,/ˈsɜːvənt/,https://api.dictionaryapi.dev/media/pronunciations/en/servant-us.mp3,everyday
,word,immigrant,ရွှေ့ပြောင်းအခြေချသူ,Many immigrants came to this city for work.,ရွှေ့ပြောင်းအခြေချသူအများကြီး အလုပ်လုပ်ဖို့ ဒီမြို့ကို လာခဲ့ကြတယ်။,/ˈɪmɪɡɹənt/,,everyday
,word,excess,ပိုလျှံ,Eating in excess is not healthy.,ပိုလျှံပြီးစားတာက ကျန်းမာရေးအတွက် မကောင်းဘူး။,/əkˈsɛs/,https://api.dictionaryapi.dev/media/pronunciations/en/excess-us.mp3,everyday
,word,complexity,ရှုပ်ထွေးမှု,The complexity of this problem surprised us.,ဒီပြဿနာရဲ့ ရှုပ်ထွေးမှုက ကျွန်တော်တို့ကို အံ့ဩစေခဲ့တယ်။,/kəmˈplɛk.sɪ.ti/,,everyday
,word,liability,တာဝန်ဝတ္တရား၊ ကြွေးမြီ,The company denied any liability for the damage.,ကုမ္ပဏီက ပျက်စီးမှုအတွက် တာဝန်ဝတ္တရားမရှိဘူးလို့ ငြင်းဆန်ခဲ့တယ်။,/laɪəˈbɪlɪti/,https://api.dictionaryapi.dev/media/pronunciations/en/liability-us.mp3,everyday
,word,surprisingly,အံ့သြစရာကောင်းစွာ,"Surprisingly, the test was easy.",အံ့သြစရာကောင်းစွာ စာမေးပွဲက လွယ်ခဲ့တယ်။,,,everyday
,word,extract,ထုတ်ယူ,We extract juice from these fruits.,ဒီအသီးတွေကနေ ရည် ထုတ်ယူတယ်။,,,everyday
,word,implementation,အကောင်အထည်ဖော်မှု,The implementation of this plan will take months.,ဒီအစီအစဉ်ရဲ့ အကောင်အထည်ဖော်မှုက လများစွာ ကြာလိမ့်မယ်။,,https://api.dictionaryapi.dev/media/pronunciations/en/implementation-us.mp3,everyday
,word,bias,ဘက်လိုက်မှု,The report showed no bias.,အစီရင်ခံစာမှာ ဘက်လိုက်မှု မရှိခဲ့ဘူး။,/ˈbaɪəs/,https://api.dictionaryapi.dev/media/pronunciations/en/bias-us.mp3,everyday
,word,differently,ကွဲပြားစွာ,Everyone learns differently.,လူတိုင်းက ကွဲပြားစွာ သင်ယူကြတယ်။,/ˈdifəɹəntli/,https://api.dictionaryapi.dev/media/pronunciations/en/differently-us.mp3,everyday
,word,catalog,စာရင်း၊ ကတ်တလောက်,You can order from the catalog.,ကတ်တလောက်ကနေ မှာယူလို့ရတယ်။,,,everyday
,word,continuous,စဉ်ဆက်မပြတ်,There has been continuous rain this week.,ဒီအပတ် စဉ်ဆက်မပြတ် မိုးရွာနေတယ်။,/kənˈtɪn.juː.əs/,https://api.dictionaryapi.dev/media/pronunciations/en/continuous-us.mp3,everyday
,word,golden,ရွှေရောင်,The sunset painted the sky golden.,နေဝင်ချိန်က ကောင်းကင်ကို ရွှေရောင် သုတ်ပေးလိုက်တယ်။,/ˈɡəʊl.dən/,https://api.dictionaryapi.dev/media/pronunciations/en/golden-au.mp3,everyday
,word,stamp,တံဆိပ်ခေါင်း၊ တံဆိပ်ရိုက်,I need a stamp for this letter.,ဒီစာအတွက် တံဆိပ်ခေါင်း လိုနေတယ်။,/stæmp/,https://api.dictionaryapi.dev/media/pronunciations/en/stamp-uk.mp3,everyday
,word,guideline,လမ်းညွှန်ချက်,Please follow the safety guidelines.,ဘေးကင်းရေးလမ်းညွှန်ချက်များကို လိုက်နာပါ။,,,everyday
,word,envelope,စာအိတ်,Put the letter in the envelope.,စာကို စာအိတ်ထဲ ထည့်ပါ။,/ˈɒn.və.ləʊp/,https://api.dictionaryapi.dev/media/pronunciations/en/envelope-1-uk.mp3,everyday
,word,knife,ဓား,Be careful with that knife.,ဒီဓားကို ဂရုစိုက်ပါ။,/naɪf/,https://api.dictionaryapi.dev/media/pronunciations/en/knife-uk.mp3,everyday
,word,biological,ဇီဝဗေဒဆိုင်ရာ,This is a biological process.,ဒါက ဇီဝဗေဒဆိုင်ရာ လုပ်ငန်းစဉ်တစ်ခုပါ။,/ˌbaɪə(ʊ)ˈlɒdʒɪkəl/,,everyday
,word,consume,စားသုံး,We consume too much sugar these days.,အခုနောက်ပိုင်း သကြားကို များများ စားသုံးနေကြတယ်။,/kənˈsjuːm/,https://api.dictionaryapi.dev/media/pronunciations/en/consume-uk.mp3,everyday
,word,luxury,ဇိမ်ခံ,This hotel offers a luxury experience.,ဒီဟိုတယ်က ဇိမ်ခံ အတွေ့အကြုံ ပေးတယ်။,/ˈlʌk.ʃə.ɹi/,https://api.dictionaryapi.dev/media/pronunciations/en/luxury-us.mp3,everyday
,word,weekly,အပတ်စဉ်,We have a weekly meeting on Mondays.,တနင်္လာနေ့တိုင်း အပတ်စဉ် အစည်းအဝေး ရှိတယ်။,/wiːk.li/,https://api.dictionaryapi.dev/media/pronunciations/en/weekly-us.mp3,everyday
,word,wherever,ဘယ်နေရာမဆို,I will follow you wherever you go.,မင်းသွားရာ ဘယ်နေရာမဆို လိုက်ပါမယ်။,/wɛəˈɹɛvə/,https://api.dictionaryapi.dev/media/pronunciations/en/wherever-us.mp3,everyday
,word,bite,ကိုက်,The dog didn't bite anyone.,ခွေးက ဘယ်သူ့ကိုမှ မကိုက်ခဲ့ဘူး။,/bʌɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/bite-us.mp3,everyday
,word,printer,ပရင်တာ,The printer is out of paper.,ပရင်တာမှာ စက္ကူကုန်နေတယ်။,/ˈpɹɪntə(ɹ)/,https://api.dictionaryapi.dev/media/pronunciations/en/printer-au.mp3,everyday
,word,firstly,ပထမဦးစွာ,"Firstly, let's discuss the budget.",ပထမဦးစွာ ဘတ်ဂျက်ကို ဆွေးနွေးကြရအောင်။,/ˈfɜɹstli/,,everyday
,word,anxious,စိုးရိမ်ပူပန်,She felt anxious before the interview.,အင်တာဗျူးမတိုင်ခင် သူမ စိုးရိမ်ပူပန်နေတယ်။,/ˈaŋ(k)ʃəs/,https://api.dictionaryapi.dev/media/pronunciations/en/anxious-us.mp3,feelings
,word,adventure,စွန့်စားခန်း,We went on an adventure in the mountains.,တောင်ပေါ်မှာ စွန့်စားခန်းတစ်ခု သွားလာခဲ့ကြတယ်။,/ædˈvɛnt͡ʃɚ/,https://api.dictionaryapi.dev/media/pronunciations/en/adventure-ca.mp3,travel
,word,fence,ခြံစည်းရိုး,There is a fence around the garden.,ဥယျာဉ်ပတ်လည်မှာ ခြံစည်းရိုး ရှိတယ်။,/fɛns/,https://api.dictionaryapi.dev/media/pronunciations/en/fence-us.mp3,everyday
,word,exhaust,မောပန်း၊ ကုန်ခန်း,This long trip exhausted us.,ဒီရှည်လျားတဲ့ ခရီးစဉ်က ကျွန်တော်တို့ကို မောပန်းစေခဲ့တယ်။,/ɪɡˈzɔːst/,https://api.dictionaryapi.dev/media/pronunciations/en/exhaust-us.mp3,everyday
,word,attraction,ဆွဲဆောင်မှု,The beach is a popular attraction here.,ကမ်းခြေက ဒီမှာ လူကြိုက်များတဲ့ ဆွဲဆောင်မှုတစ်ခုပါ။,/əˈtɹækʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/attraction-us.mp3,everyday
,word,ocean,သမုဒ္ဒရာ,The ocean is very deep.,သမုဒ္ဒရာက အရမ်းနက်တယ်။,/ˈəʊ.ʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/ocean-us.mp3,everyday
,word,quietly,တိတ်ဆိတ်စွာ,She closed the door quietly.,သူမ တံခါးကို တိတ်ဆိတ်စွာ ပိတ်ခဲ့တယ်။,/ˈkwaɪ.ɪt.li/,https://api.dictionaryapi.dev/media/pronunciations/en/quietly-us.mp3,everyday
,word,castle,ရဲတိုက်,We visited an old castle.,ရဲတိုက်ဟောင်းတစ်ခုကို သွားခဲ့ကြတယ်။,/kæsl̩/,https://api.dictionaryapi.dev/media/pronunciations/en/castle-au.mp3,everyday
,word,veteran,စစ်မှုထမ်းဟောင်း၊ အတွေ့အကြုံရင့်,He is a war veteran.,သူက စစ်မှုထမ်းဟောင်းတစ်ယောက်ပါ။,[ˈvɛ.t̬ə.ɹən],,everyday
,word,reflection,ရောင်ပြန်ဟပ်မှု၊ ဆင်ခြင်သုံးသပ်မှု,This decision needs careful reflection.,ဒီဆုံးဖြတ်ချက်က ဂရုတစိုက် ဆင်ခြင်သုံးသပ်မှု လိုအပ်တယ်။,/ɹɪˈflɛkʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/reflection-us.mp3,everyday
,word,nerve,အာရုံကြော,It takes nerve to do that.,ဒါလုပ်ဖို့ ရဲစွမ်းအား လိုတယ်။,/nɛɾv/,https://api.dictionaryapi.dev/media/pronunciations/en/nerve-us.mp3,everyday
,word,determination,ဆုံးဖြတ်ချက်ခိုင်မာမှု,She showed great determination to succeed.,သူမ အောင်မြင်ဖို့ ဆုံးဖြတ်ချက်ခိုင်ခိုင်မာမာ ပြသခဲ့တယ်။,/dɪˌtɜːmɪˈneɪʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/determination-us.mp3,everyday
,word,altogether,စုစုပေါင်း၊ လုံးဝ,The bill came to fifty dollars altogether.,ငွေတောင်းခံလွှာက စုစုပေါင်း ဒေါ်လာ ငါးဆယ် ဖြစ်ခဲ့တယ်။,/ɔː.tuːˈɡɛð.ə(ɹ)/,https://api.dictionaryapi.dev/media/pronunciations/en/altogether-us.mp3,everyday
,word,fiction,စိတ်ကူးယဉ်ဝတ္ထု,I enjoy reading science fiction.,သိပ္ပံစိတ်ကူးယဉ်ဝတ္ထု ဖတ်ရတာ ကြိုက်တယ်။,/ˈfɪk.ʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/fiction-us.mp3,everyday
,word,carpet,ကော်ဇော,They laid a new carpet in the living room.,သူတို့ ဧည့်ခန်းမှာ ကော်ဇောအသစ် ခင်းခဲ့ကြတယ်။,/ˈkɑː(ɹ)pɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/carpet-uk.mp3,everyday
,word,cluster,အစုအဝေး,There is a cluster of houses near the river.,မြစ်နားမှာ အိမ်တွေ အစုအဝေးတစ်ခု ရှိတယ်။,/ˈklʌstə/,https://api.dictionaryapi.dev/media/pronunciations/en/cluster-uk.mp3,everyday
,word,confusion,ရှုပ်ထွေးမှု,There was a lot of confusion about the schedule.,အချိန်ဇယားအကြောင်း ရှုပ်ထွေးမှု အများကြီးရှိခဲ့တယ်။,/kənˈfjuːʒən/,https://api.dictionaryapi.dev/media/pronunciations/en/confusion-us.mp3,everyday
,word,hurry,အလျင်လို,There's no need to hurry.,အလျင်လိုစရာ မလိုပါဘူး။,/ˈhʌ.ɹi/,https://api.dictionaryapi.dev/media/pronunciations/en/hurry-uk.mp3,everyday
,word,logic,ယုတ္တိဗေဒ,I don't understand your logic.,မင်းရဲ့ ယုတ္တိဗေဒကို ကျွန်တော် နားမလည်ဘူး။,/ˈlɒdʒɪk/,https://api.dictionaryapi.dev/media/pronunciations/en/logic-us.mp3,everyday
,word,controversial,အငြင်းပွားဖွယ်,This is a controversial topic.,ဒါက အငြင်းပွားဖွယ် ခေါင်းစဉ်တစ်ခုပါ။,/kɒn.tɹə.ˈvɜː.sjəl/,https://api.dictionaryapi.dev/media/pronunciations/en/controversial-uk.mp3,everyday
,word,raw,အစိမ်း၊ မချက်ရသေး,She eats a lot of raw vegetables.,သူမ အစိမ်းသက်သက် ဟင်းသီးဟင်းရွက် များများ စားတယ်။,/ɹɔː/,,everyday
,word,grammar,သဒ္ဒါ,English grammar can be tricky.,အင်္ဂလိပ်သဒ္ဒါက ရှုပ်ထွေးနိုင်တယ်။,/ˈɡɹæm.ə(ɹ)/,https://api.dictionaryapi.dev/media/pronunciations/en/grammar-us.mp3,everyday
,word,revise,ပြန်လည်ပြင်ဆင်,I need to revise my essay before submitting it.,မတင်သွင်းခင် ကျွန်တော့်ရဲ့ စာစီစာကုံးကို ပြန်လည်ပြင်ဆင်ဖို့ လိုတယ်။,/ɹɪˈvaɪ̯z/,https://api.dictionaryapi.dev/media/pronunciations/en/revise-au.mp3,everyday
,word,hint,အရိပ်အမြွက်,Can you give me a hint?,အရိပ်အမြွက်တစ်ခု ပေးနိုင်မလား။,/hɪnt/,https://api.dictionaryapi.dev/media/pronunciations/en/hint-us.mp3,everyday
,word,hook,ချိတ်,Hang your coat on the hook.,မင်းရဲ့ကုတ်ကို ချိတ်ပေါ် ဆွဲထားပါ။,/huːk/,https://api.dictionaryapi.dev/media/pronunciations/en/hook-au.mp3,everyday
,word,bell,ခေါင်းလောင်း,The bell rang at nine.,ခေါင်းလောင်းက ကိုးနာရီမှာ မြည်ခဲ့တယ်။,/bɛl/,https://api.dictionaryapi.dev/media/pronunciations/en/bell-us.mp3,everyday
,word,liquid,အရည်,Water is a liquid.,ရေက အရည်တစ်မျိုးပါ။,/ˈlɪkwɪd/,https://api.dictionaryapi.dev/media/pronunciations/en/liquid-us.mp3,everyday
,word,panic,ထိတ်လန့်,"Don't panic, everything is under control.",မထိတ်လန့်ပါနဲ့၊ အားလုံး ထိန်းချုပ်ထားနိုင်ပါတယ်။,/ˈpænɪk/,https://api.dictionaryapi.dev/media/pronunciations/en/panic-us.mp3,everyday
,word,uncle,ဦးလေး,My uncle lives in Yangon.,ကျွန်တော့်ဦးလေး ရန်ကုန်မှာ နေထိုင်တယ်။,/ˈʌŋ.kəl/,https://api.dictionaryapi.dev/media/pronunciations/en/uncle-uk.mp3,everyday
,word,rice,ထမင်း၊ ဆန်,We eat rice every day.,နေ့တိုင်း ထမင်းစားတယ်။,/ɹaɪs/,https://api.dictionaryapi.dev/media/pronunciations/en/rice-uk.mp3,food-shopping
,word,slope,စောင်း၊ ဆင်ခြေလျှော,The road has a steep slope.,ဒီလမ်းမှာ ချော်တဲ့ စောင်းချောင်းရှိတယ်။,/sləʊp/,https://api.dictionaryapi.dev/media/pronunciations/en/slope-us.mp3,everyday
,word,happiness,ပျော်ရွှင်မှု,Money doesn't always bring happiness.,ပိုက်ဆံက အမြဲတမ်း ပျော်ရွှင်မှု မဆောင်ကြဉ်းပါဘူး။,/ˈhæpinəs/,https://api.dictionaryapi.dev/media/pronunciations/en/happiness-us.mp3,feelings
,word,genuine,စစ်မှန်,This is a genuine leather bag.,ဒါက စစ်မှန်တဲ့ သားရေအိတ်တစ်ခုပါ။,/ˈdʒɛnjuːˌaɪn/,https://api.dictionaryapi.dev/media/pronunciations/en/genuine-us.mp3,everyday
,word,vessel,သင်္ဘော၊ သွေးကြော,The blood vessel was damaged.,သွေးကြောက ထိခိုက်ခဲ့တယ်။,/ˈvɛs.l̩/,https://api.dictionaryapi.dev/media/pronunciations/en/vessel-us.mp3,everyday
,word,verb,ကြိယာ,'Run' is a verb.,'run' က ကြိယာတစ်ခုပါ။,/vɜːb/,https://api.dictionaryapi.dev/media/pronunciations/en/verb-us.mp3,everyday
,word,reckon,တွက်ဆ၊ ထင်,I reckon it will rain later.,နောက်ပိုင်း မိုးရွာမယ်လို့ ထင်တယ်။,/ˈɹɛkən/,https://api.dictionaryapi.dev/media/pronunciations/en/reckon-us.mp3,everyday
,word,silly,ရူးမိုက်,That was a silly thing to say.,ဒါက ရူးမိုက်တဲ့ ပြောစကားတစ်ခုပါ။,/ˈsɪli/,https://api.dictionaryapi.dev/media/pronunciations/en/silly-au.mp3,everyday
,word,transportation,သယ်ယူပို့ဆောင်ရေး,Public transportation here is affordable.,ဒီမှာ ပြည်သူ့သယ်ယူပို့ဆောင်ရေးက ဈေးမကြီးဘူး။,/tɹænspɔːˈteɪʃən/,,everyday
,word,harbor,ဆိပ်ကမ်း,The ships are docked at the harbor.,သင်္ဘောတွေ ဆိပ်ကမ်းမှာ ရပ်နားထားတယ်။,/ˈhɑːbə/,https://api.dictionaryapi.dev/media/pronunciations/en/harbor-us.mp3,everyday
,word,comedy,ဟာသဇာတ်,We watched a comedy last night.,မနေ့ညက ဟာသဇာတ်တစ်ကား ကြည့်ခဲ့ကြတယ်။,/ˈkɒmədi/,https://api.dictionaryapi.dev/media/pronunciations/en/comedy-us.mp3,everyday
,word,chase,လိုက်၊ လိုက်ဖမ်း,The dog chased the cat.,ခွေးက ကြောင်ကို လိုက်ဖမ်းခဲ့တယ်။,/tʃeɪs/,https://api.dictionaryapi.dev/media/pronunciations/en/chase-au.mp3,everyday
,word,storage,သိုလှောင်မှု,We need more storage for these boxes.,ဒီသေတ္တာတွေအတွက် သိုလှောင်နေရာ ပိုလိုတယ်။,/ˈstɔ.ɹɪd͡ʒ/,https://api.dictionaryapi.dev/media/pronunciations/en/storage-us.mp3,everyday
,word,universe,စကြဝဠာ,The universe is vast.,စကြဝဠာက ကျယ်ပြောတယ်။,/ˈjuːnɪˌvɜːs/,https://api.dictionaryapi.dev/media/pronunciations/en/universe-us.mp3,everyday
,word,horrible,ကြောက်စရာ,The smell in here is horrible.,ဒီမှာ အနံ့က ကြောက်စရာကောင်းတယ်။,/ˈhɑɹɪbəl/,https://api.dictionaryapi.dev/media/pronunciations/en/horrible-us.mp3,everyday
,word,sheep,သိုး,The farmer has fifty sheep.,လယ်သမားမှာ သိုးငါးဆယ် ရှိတယ်။,/ʃiːp/,https://api.dictionaryapi.dev/media/pronunciations/en/sheep-uk.mp3,everyday
,word,lover,ချစ်သူ,He is a music lover.,သူက ဂီတအား ခစားသူတစ်ယောက်ပါ။,/ˈlʌvə/,https://api.dictionaryapi.dev/media/pronunciations/en/lover-1-us.mp3,everyday
,word,rat,ကြွက်,There is a rat in the basement.,မြေအောက်ခန်းထဲမှာ ကြွက်တစ်ကောင် ရှိတယ်။,/ɹæt/,https://api.dictionaryapi.dev/media/pronunciations/en/rat-uk.mp3,everyday
,word,portrait,ပုံတူ,The artist painted her portrait.,ပန်းချီဆရာက သူမရဲ့ ပုံတူကို ဆွဲခဲ့တယ်။,/ˈpɔːtɹeɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/portrait-us.mp3,everyday
,word,innocent,အပြစ်မဲ့,He is innocent until proven guilty.,သူ့ကို အပြစ်ရှိကြောင်း မသက်သေပြနိုင်မချင်း အပြစ်မဲ့သူ ဖြစ်တယ်။,/ˈɪnəsn̩t/,https://api.dictionaryapi.dev/media/pronunciations/en/innocent-us.mp3,everyday
,word,substitute,အစားထိုး,We used honey as a substitute for sugar.,သကြားအစား ပျားရည်ကို အစားထိုးသုံးခဲ့တယ်။,/ˈsʌbstɪtjut/,https://api.dictionaryapi.dev/media/pronunciations/en/substitute-us.mp3,everyday
,word,supplement,ဖြည့်စွက်,She takes vitamin supplements every day.,သူမ နေ့တိုင်း ဗီတာမင်ဖြည့်စွက်စာ သောက်တယ်။,/ˈsʌpləmənt/,,everyday
,word,adjustment,ချိန်ညှိမှု,We made some adjustments to the plan.,အစီအစဉ်ကို အနည်းငယ် ချိန်ညှိမှုတွေ လုပ်ခဲ့တယ်။,/əˈdʒʌst.mənt/,https://api.dictionaryapi.dev/media/pronunciations/en/adjustment-us.mp3,everyday
,word,reasonably,သင့်တင့်စွာ,The hotel was reasonably priced.,ဟိုတယ်က ဈေးနှုန်း သင့်တင့်ခဲ့တယ်။,/ˈɹiː.zən.ə.bli/,,everyday
,word,filter,စစ်ထုတ်,This machine filters the water.,ဒီစက်က ရေကို စစ်ထုတ်ပေးတယ်။,/ˈfɪltə/,https://api.dictionaryapi.dev/media/pronunciations/en/filter-us.mp3,everyday
,word,flexible,ပြောင်းလွယ်ပြင်လွယ်,My work schedule is flexible.,ကျွန်တော့်အလုပ်အချိန်ဇယားက ပြောင်းလွယ်ပြင်လွယ် ရှိတယ်။,/ˈflɛk.sə.bəl/,https://api.dictionaryapi.dev/media/pronunciations/en/flexible-us.mp3,everyday
,word,abstract,စိတ္တဇ၊ အကျဉ်းချုပ်,This painting is very abstract.,ဒီပန်းချီကားက အရမ်း စိတ္တဇဆန်တယ်။,/ˈæbˌstɹækt/,https://api.dictionaryapi.dev/media/pronunciations/en/abstract-uk.mp3,everyday
,word,tent,တဲ,We slept in a tent during the camping trip.,စခန်းချခရီးစဉ်အတွင်း တဲထဲမှာ အိပ်ခဲ့ကြတယ်။,/tɛnt/,https://api.dictionaryapi.dev/media/pronunciations/en/tent-us.mp3,everyday
,word,precise,တိကျ,I need a precise answer.,တိကျတဲ့ အဖြေတစ်ခု လိုနေတယ်။,/pɹɪˈsaɪs/,,everyday
,word,distant,ဝေးလံ,They live in a distant part of the country.,သူတို့ နိုင်ငံရဲ့ ဝေးလံတဲ့ ဒေသတစ်ခုမှာ နေထိုင်ကြတယ်။,/ˈdɪstənt/,https://api.dictionaryapi.dev/media/pronunciations/en/distant-us.mp3,everyday
,word,stranger,သူစိမ်း,Don't talk to strangers.,သူစိမ်းတွေနဲ့ မပြောပါနဲ့။,/ˈstɹeɪndʒə/,https://api.dictionaryapi.dev/media/pronunciations/en/stranger-us.mp3,everyday
,word,shade,အရိပ်၊ အရောင်နု,Let's sit in the shade.,အရိပ်ထဲမှာ ထိုင်ကြရအောင်။,/ʃeɪd/,https://api.dictionaryapi.dev/media/pronunciations/en/shade-us.mp3,everyday
,word,grain,ကောက်ပဲသီးနှံ,This bread is made from whole grain.,ဒီပေါင်မုန့်က ကောက်ပဲသီးနှံအပြည့်နဲ့ လုပ်ထားတာပါ။,/ɡɹeɪn/,https://api.dictionaryapi.dev/media/pronunciations/en/grain-us.mp3,everyday
,word,situate,တည်ရှိ,The hotel is situated near the beach.,ဟိုတယ်က ကမ်းခြေအနီးမှာ တည်ရှိတယ်။,/ˈsɪt͡ʃueɪt/,,everyday
,word,summarize,အနှစ်ချုပ်,Can you summarize this article for me?,ဒီဆောင်းပါးကို ကျွန်တော့်အတွက် အနှစ်ချုပ်ပေးနိုင်မလား။,/ˈsʌməˌɹaɪz/,https://api.dictionaryapi.dev/media/pronunciations/en/summarize-us.mp3,everyday
,word,leap,ခုန်,The cat made a big leap onto the table.,ကြောင်က စားပွဲပေါ်ကို ခုန်တက်လိုက်တယ်။,/liːp/,https://api.dictionaryapi.dev/media/pronunciations/en/leap-us.mp3,everyday
,word,snap,ချိုးဖြတ်၊ ဓာတ်ပုံရိုက်,She snapped a photo of the sunset.,သူမ နေဝင်ချိန်ကို ဓာတ်ပုံရိုက်လိုက်တယ်။,/snæp/,https://api.dictionaryapi.dev/media/pronunciations/en/snap-au.mp3,everyday
,word,probability,ဖြစ်နိုင်ခြေ,There is a high probability of rain today.,ဒီနေ့ မိုးရွာဖြစ်နိုင်ခြေ မြင့်တယ်။,/pɹɒbəˈbɪlɪti/,https://api.dictionaryapi.dev/media/pronunciations/en/probability-us.mp3,everyday
,word,leather,သားရေ,This jacket is made of leather.,ဒီဂျာကင်က သားရေနဲ့ လုပ်ထားတာ။,/ˈlɛðə/,https://api.dictionaryapi.dev/media/pronunciations/en/leather-us.mp3,everyday
,word,uncertainty,မသေချာမှု,There is a lot of uncertainty about the future.,အနာဂတ်အကြောင်း မသေချာမှု အများကြီး ရှိတယ်။,/ʌnˈsɜːtənti/,https://api.dictionaryapi.dev/media/pronunciations/en/uncertainty-us.mp3,everyday
,word,swear,ကျိန်ဆို၊ ဆဲ,I swear I didn't take it.,ကျွန်တော် ယူမလုပ်ခဲ့ဘူးဆိုတာ ကျိန်ဆိုပါတယ်။,/swɛə/,https://api.dictionaryapi.dev/media/pronunciations/en/swear-us.mp3,everyday
,word,refugee,ဒုက္ခသည်,The organization helps refugees find homes.,အဖွဲ့အစည်းက ဒုက္ခသည်တွေ အိမ်ရှာဖွေရေးမှာ ကူညီပေးတယ်။,/ɹɛfjʊˈdʒiː/,https://api.dictionaryapi.dev/media/pronunciations/en/refugee-uk.mp3,everyday
,word,shore,ကမ်းစပ်,We walked along the shore.,ကမ်းစပ်တစ်လျှောက် လမ်းလျှောက်ခဲ့ကြတယ်။,/ʃɔː/,https://api.dictionaryapi.dev/media/pronunciations/en/shore-us.mp3,everyday
,word,monthly,လစဉ်,I pay my rent monthly.,ကျွန်တော် လစဉ် အိမ်ငှားခ ပေးဆောင်တယ်။,/ˈmʌnθli/,https://api.dictionaryapi.dev/media/pronunciations/en/monthly-us.mp3,everyday
,word,comprise,ဖွဲ့စည်းပါဝင်,The team comprises ten members.,အသင်းက အဖွဲ့ဝင်ဆယ်ဦးဖြင့် ဖွဲ့စည်းထားတယ်။,/kəmˈpɹaɪz/,https://api.dictionaryapi.dev/media/pronunciations/en/comprise-us.mp3,everyday
,word,stir,မွှေ၊ လှုပ်ရှား,Stir the soup before serving.,မကျွေးခင် ဟင်းချိုကို မွှေပါ။,/stɜː/,https://api.dictionaryapi.dev/media/pronunciations/en/stir-us.mp3,everyday
,word,excitement,စိတ်လှုပ်ရှားမှု,There was a lot of excitement before the trip.,ခရီးမတိုင်ခင် စိတ်လှုပ်ရှားမှု အများကြီး ရှိခဲ့တယ်။,/ɪkˈsaɪtmənt/,https://api.dictionaryapi.dev/media/pronunciations/en/excitement-uk.mp3,everyday
,word,sigh,သက်ပြင်းချ,She sighed with relief.,သူမ သက်သာရာရသလို သက်ပြင်းချလိုက်တယ်။,/saɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/sigh-us.mp3,everyday
,word,pregnancy,ကိုယ်ဝန်ဆောင်ခြင်း,Her pregnancy went smoothly.,သူမရဲ့ ကိုယ်ဝန်ဆောင်ခြင်းက အဆင်ပြေချောမွေ့ခဲ့တယ်။,,,everyday
,word,experimental,စမ်းသပ်မှုဆိုင်ရာ,This is still an experimental treatment.,ဒါက အခုထိ စမ်းသပ်မှုဆိုင်ရာ ကုသနည်းတစ်ခုပါပဲ။,/ɨkspɛɹəˈmɛntəl/,,everyday
,word,institutional,အဖွဲ့အစည်းဆိုင်ရာ,The company faces institutional problems.,ကုမ္ပဏီက အဖွဲ့အစည်းဆိုင်ရာ ပြဿနာတွေနဲ့ ရင်ဆိုင်နေရတယ်။,/-ʃnəl/,,everyday
,word,slice,အချပ်၊ လှီး,Can I have a slice of bread?,ပေါင်မုန့်တစ်ချပ် ရနိုင်မလား။,/slaɪs/,https://api.dictionaryapi.dev/media/pronunciations/en/slice-au.mp3,everyday
,word,wander,လျှောက်လည်,We wandered around the old town.,မြို့ဟောင်းထဲမှာ လျှောက်လည်ခဲ့ကြတယ်။,/ˈwɒndə/,https://api.dictionaryapi.dev/media/pronunciations/en/wander-us.mp3,everyday
